study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp
PRJNA392905	SAMN07312100	SRX2978918	SRR5799451	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799451/SRR5799451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799451/SRR5799451_2.fastq.gz
PRJNA392905	SAMN07312097	SRX2978921	SRR5799454	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799454/SRR5799454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799454/SRR5799454_2.fastq.gz
PRJNA392905	SAMN07312096	SRX2978922	SRR5799455	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799455/SRR5799455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799455/SRR5799455_2.fastq.gz
PRJNA392905	SAMN07312086	SRX2978932	SRR5799465	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799465/SRR5799465_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799465/SRR5799465_2.fastq.gz
PRJNA392905	SAMN07312083	SRX2978935	SRR5799468	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799468/SRR5799468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799468/SRR5799468_2.fastq.gz
PRJNA392905	SAMN07312080	SRX2978938	SRR5799471	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799471/SRR5799471_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799471/SRR5799471_2.fastq.gz
PRJNA392905	SAMN07311972	SRX2978943	SRR5799476	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799476/SRR5799476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799476/SRR5799476_2.fastq.gz
PRJNA392905	SAMN07311967	SRX2978948	SRR5799481	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799481/SRR5799481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799481/SRR5799481_2.fastq.gz
PRJNA392905	SAMN07311966	SRX2978949	SRR5799482	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799482/SRR5799482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799482/SRR5799482_2.fastq.gz
PRJNA392905	SAMN07311964	SRX2978951	SRR5799484	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799484/SRR5799484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799484/SRR5799484_2.fastq.gz
